x,y,z
8.859659,8.487220,27.934182
8.822415,8.408179,27.941209
8.780991,8.329284,27.937915
8.735820,8.251443,27.924298
8.687383,8.175541,27.900481
8.636198,8.102432,27.866709
8.582822,8.032919,27.823338
8.527831,7.967752,27.770834
8.471823,7.907617,27.709755
8.415403,7.853130,27.640747
8.359176,7.804831,27.564533
8.303741,7.763185,27.481899
8.249686,7.728575,27.393683
8.197574,7.701308,27.300768
8.147948,7.681615,27.204068
8.101315,7.669651,27.104520
8.058148,7.665500,27.003075
8.018883,7.669179,26.900690
7.983913,7.680640,26.798321
7.953586,7.699774,26.696915
7.928204,7.726418,26.597405
7.908026,7.760355,26.500707
7.893259,7.801316,26.407713
7.884064,7.848986,26.319285
7.880557,7.903005,26.236257
7.882801,7.962967,26.159424
7.890818,8.028427,26.089544
7.904579,8.098893,26.027331
7.924010,8.173835,25.973453
7.948993,8.252681,25.928523
7.979362,8.334815,25.893101
8.014907,8.419584,25.867683
8.055375,8.506292,25.852700
8.100466,8.594202,25.848508
8.149840,8.682541,25.855385
8.203110,8.770498,25.873521
8.259849,8.857230,25.903014
8.319587,8.941866,25.943861
8.381815,9.023510,25.995951
8.445984,9.101250,26.059060
8.511511,9.174169,26.132842
8.577777,9.241351,26.216826
8.644134,9.301894,26.310413
8.709910,9.354925,26.412871
8.774412,9.399614,26.523333
8.836932,9.435186,26.640805
8.896757,9.460946,26.764164
8.953176,9.476285,26.892171
9.005487,9.480708,27.023475
9.053009,9.473842,27.156633
9.095093,9.455454,27.290124
9.131129,9.425463,27.422369
9.160562,9.383953,27.551757
9.182901,9.331175,27.676666
9.197729,9.267555,27.795495
9.204711,9.193689,27.906686
9.203609,9.110341,28.008760
9.194282,9.018432,28.100340
9.176697,8.919022,28.180178
9.150930,8.813297,28.247178
9.117166,8.702545,28.300418
9.075704,8.588130,28.339166
9.026947,8.471467,28.362888
8.971399,8.353995,28.371259
8.909658,8.237147,28.364163
8.842407,8.122330,28.341687
8.770400,8.010894,28.304118
